"zip","population","zip_code","latitude","longitude","city","state","county"
93230,68572,93230,36.2205,-119.718,"Hanford","CA","Kings"
33015,68517,33015,25.9099,-80.3612,"Hialeah","FL","Miami-Dade"
23462,68499,23462,36.8371,-76.1467,"Virginia Beach","VA","Virginia Beach City"
75228,68472,75228,32.8323,-96.6821,"Dallas","TX","Dallas"
95020,68365,95020,37.0233,-121.494,"Gilroy","CA","Santa Clara"
60620,68330,60620,41.8119,-87.6873,"Chicago","IL","Cook"
32822,68321,32822,28.4944,-81.2902,"Orlando","FL","Orange"
78640,68265,78640,29.9966,-97.8335,"Kyle","TX","Hays"
11434,68182,11434,40.6746,-73.7816,"Jamaica","NY","Queens"
33033,68121,33033,25.5584,-80.4582,"Homestead","FL","Miami-Dade"
75068,68074,75068,33.1768,-96.9583,"Little Elm","TX","Denton"
10701,68032,10701,40.9461,-73.8669,"Yonkers","NY","Westchester"
949,68031,949,18.4319,-66.1997,"Toa Baja","PR","Toa Baja"
95206,68031,95206,37.9123,-121.387,"Stockton","CA","San Joaquin"
77375,67965,77375,29.834,-95.4342,"Tomball","TX","Harris"
91402,67937,91402,33.7866,-118.299,"Panorama City","CA","Los Angeles"
95624,67915,95624,38.4415,-121.307,"Elk Grove","CA","Sacramento"
17603,67891,17603,40.0091,-76.3671,"Lancaster","PA","Lancaster"
75126,67852,75126,32.7239,-96.4508,"Forney","TX","Kaufman"
87114,67805,87114,35.1868,-106.665,"Albuquerque","NM","Bernalillo"
85301,67781,85301,33.2765,-112.187,"Glendale","AZ","Maricopa"
78045,67686,78045,27.6357,-99.5923,"Laredo","TX","Webb"
30047,67675,30047,33.8656,-84.0725,"Lilburn","GA","Gwinnett"
29072,67669,29072,33.9769,-81.253,"Lexington","SC","Lexington"
11746,67663,11746,40.8143,-73.3634,"Huntington Station","NY","Suffolk"
94513,67580,94513,37.9123,-121.843,"Brentwood","CA","Contra Costa"
89121,67537,89121,36.1223,-115.092,"Las Vegas","NV","Clark"
94541,67401,94541,37.6751,-121.974,"Hayward","CA","Alameda"
60640,67317,60640,41.8119,-87.6873,"Chicago","IL","Cook"
30135,67299,30135,33.6675,-84.7506,"Douglasville","GA","Douglas"
7087,67258,7087,40.7589,-74.0563,"Union City","NJ","Hudson"
92407,67207,92407,34.2712,-116.937,"San Bernardino","CA","San Bernardino"
19111,67149,19111,40.0632,-75.0813,"Philadelphia","PA","Philadelphia"
20011,67127,20011,38.9526,-77.0179,"Washington","DC","District Of Columbia"
75067,67117,75067,33.0479,-97.0509,"Lewisville","TX","Denton"
32210,67110,32210,30.2745,-81.7867,"Jacksonville","FL","Duval"
11372,67001,11372,40.7511,-73.8825,"Jackson Heights","NY","Queens"
89110,66927,89110,36.1837,-115.125,"Las Vegas","NV","Clark"
20147,66917,20147,39.0373,-77.4805,"Ashburn","VA","Loudoun"
66061,66897,66061,38.8914,-94.8817,"Olathe","KS","Johnson"
93906,66883,93906,36.621,-121.488,"Salinas","CA","Monterey"
85204,66851,85204,33.3971,-111.788,"Mesa","AZ","Maricopa"
98682,66821,98682,45.6788,-122.479,"Vancouver","WA","Clark"
77386,66816,77386,30.1246,-95.4018,"Spring","TX","Montgomery"
34711,66744,34711,28.584,-81.7794,"Clermont","FL","Lake"
32259,66518,32259,29.8773,-81.5612,"Jacksonville","FL","St. Johns"
92114,66487,92114,32.7061,-117.052,"San Diego","CA","San Diego"
89115,66461,89115,36.2201,-115.064,"Las Vegas","NV","Clark"
48197,66422,48197,42.2021,-83.6205,"Ypsilanti","MI","Washtenaw"
30004,66406,30004,34.1124,-84.302,"Alpharetta","GA","Fulton"
43123,66365,43123,39.969,-83.0114,"Grove City","OH","Franklin"
75071,66298,75071,0,0,"Mc Kinney","TX","Collin"
94080,66262,94080,37.6574,-122.423,"South San Francisco","CA","San Mateo"
92630,66240,92630,33.6408,-117.693,"Lake Forest","CA","Orange"
94538,66215,94538,37.5095,-121.958,"Fremont","CA","Alameda"
77521,66215,77521,29.834,-95.4342,"Baytown","TX","Harris"
29681,66168,29681,34.8073,-82.2667,"Simpsonville","SC","Greenville"
95758,66153,95758,38.3472,-121.429,"Elk Grove","CA","Sacramento"
21234,66095,21234,39.4131,-76.53,"Parkville","MD","Baltimore"
23322,66091,23322,36.6434,-76.242,"Chesapeake","VA","Chesapeake City"
953,66079,953,18.3568,-66.257,"Toa Alta","PR","Toa Alta"
90262,66073,90262,33.9245,-118.203,"Lynwood","CA","Los Angeles"
27519,66046,27519,35.7681,-78.8296,"Cary","NC","Wake"
30022,65985,30022,34.0268,-84.2422,"Alpharetta","GA","Fulton"
20878,65954,20878,39.0919,-77.1985,"Gaithersburg","MD","Montgomery"
84404,65940,84404,41.2793,-112.08,"Ogden","UT","Weber"
87120,65918,87120,35.1197,-106.705,"Albuquerque","NM","Bernalillo"
956,65841,956,18.3267,-66.1742,"Bayamon","PR","Bayamon"
10027,65806,10027,40.8122,-73.9532,"New York City","NY","New York"
75056,65785,75056,33.0771,-96.9016,"The Colony","TX","Denton"
33463,65766,33463,26.5955,-80.1291,"Lake Worth","FL","Palm Beach"
14850,65740,14850,42.4028,-76.484,"Ithaca","NY","Tompkins"
10023,65706,10023,40.7768,-73.9822,"New York City","NY","New York"
75098,65655,75098,32.9703,-96.5524,"Wylie","TX","Dallas"
11211,65511,11211,40.7078,-73.9453,"Brooklyn","NY","Kings"
32244,65499,32244,30.2203,-81.7474,"Jacksonville","FL","Duval"
91977,65497,91977,32.7184,-117,"Spring Valley","CA","San Diego"
2148,65463,2148,42.4365,-71.0854,"Malden","MA","Middlesex"
11706,65437,11706,40.7051,-73.243,"Bay Shore","NY","Suffolk"
38401,65393,38401,35.624,-87.004,"Columbia","TN","Maury"
10472,65283,10472,40.8295,-73.8657,"Bronx","NY","Bronx"
37122,65251,37122,36.1846,-86.4687,"Mount Juliet","TN","Wilson"
60651,65229,60651,41.8119,-87.6873,"Chicago","IL","Cook"
94015,65125,94015,37.6769,-122.475,"Daly City","CA","San Mateo"
94558,65084,94558,38.5162,-122.312,"Napa","CA","Napa"
11717,64969,11717,40.7809,-73.2503,"Brentwood","NY","Suffolk"
80016,64842,80016,39.6012,-104.739,"Aurora","CO","Arapahoe"
77373,64828,77373,29.834,-95.4342,"Spring","TX","Harris"
90026,64769,90026,33.7866,-118.299,"Los Angeles","CA","Los Angeles"
30188,64757,30188,34.1274,-84.4818,"Woodstock","GA","Cherokee"
33178,64751,33178,25.8745,-80.35,"Miami","FL","Miami-Dade"
43081,64746,43081,40.1045,-82.8965,"Westerville","OH","Franklin"
28215,64713,28215,35.2466,-80.7887,"Charlotte","NC","Mecklenburg"
80219,64696,80219,39.695,-105.034,"Denver","CO","Denver"
40475,64678,40475,37.7649,-84.2969,"Richmond","KY","Madison"
60402,64659,60402,41.8119,-87.6873,"Berwyn","IL","Cook"
43026,64633,43026,39.969,-83.0114,"Hilliard","OH","Franklin"
20019,64631,20019,38.8916,-76.9394,"Washington","DC","District Of Columbia"
27406,64386,27406,35.9916,-79.7598,"Greensboro","NC","Guilford"
92201,64325,92201,33.7287,-116.036,"Indio","CA","Riverside"
8753,64313,8753,39.9589,-74.2153,"Toms River","NJ","Ocean"
75043,64296,75043,32.876,-96.5823,"Garland","TX","Dallas"
30331,64295,30331,33.7243,-84.5786,"Atlanta","GA","Fulton"
11432,64268,11432,40.7145,-73.7944,"Jamaica","NY","Queens"
92677,64259,92677,33.5328,-117.71,"Laguna Niguel","CA","Orange"
7093,64203,7093,40.7888,-74.0115,"West New York","NJ","Hudson"
44256,64186,44256,41.11,-81.855,"Medina","OH","Medina"
92562,64155,92562,33.442,-116.861,"Murrieta","CA","Riverside"
90022,64147,90022,33.8966,-118.176,"Los Angeles","CA","Los Angeles"
92404,64090,92404,34.1591,-116.709,"San Bernardino","CA","San Bernardino"
92801,64022,92801,33.6403,-117.769,"Anaheim","CA","Orange"
75150,63895,75150,32.791,-96.6359,"Mesquite","TX","Dallas"
2155,63873,2155,42.4221,-71.1093,"Medford","MA","Middlesex"
85308,63789,85308,33.2765,-112.187,"Glendale","AZ","Maricopa"
78253,63735,78253,29.472,-98.7574,"San Antonio","TX","Bexar"
94806,63730,94806,37.9596,-122.334,"San Pablo","CA","Contra Costa"
95608,63715,95608,38.6214,-121.332,"Carmichael","CA","Sacramento"
30058,63647,30058,33.7356,-84.1009,"Lithonia","GA","Dekalb"
74012,63498,74012,36.1423,-95.8791,"Broken Arrow","OK","Tulsa"
33027,63474,33027,26.0397,-80.3654,"Hollywood","FL","Broward"
10312,63473,10312,40.5452,-74.1747,"Staten Island","NY","Richmond"
90731,63431,90731,33.7531,-118.253,"San Pedro","CA","Los Angeles"
11210,63426,11210,40.6255,-73.9455,"Brooklyn","NY","Kings"
37064,63374,37064,35.8907,-86.9657,"Franklin","TN","Williamson"
94501,63340,94501,37.7706,-122.265,"Alameda","CA","Alameda"
612,63312,612,18.4507,-66.6983,"Arecibo","PR","Arecibo"
60609,63241,60609,41.8119,-87.6873,"Chicago","IL","Cook"
32765,63210,32765,28.6666,-81.2074,"Oviedo","FL","Seminole"
91343,63193,91343,33.7866,-118.299,"North Hills","CA","Los Angeles"
77406,63187,77406,29.504,-95.9191,"Richmond","TX","Fort Bend"
19143,63186,19143,39.9573,-75.187,"Philadelphia","PA","Philadelphia"
78574,63165,78574,26.3208,-98.3181,"Mission","TX","Hidalgo"
75040,63143,75040,32.9315,-96.6158,"Garland","TX","Dallas"
93905,63121,93905,36.6829,-121.612,"Salinas","CA","Monterey"
32825,63056,32825,28.5351,-81.2202,"Orlando","FL","Orange"
75243,63047,75243,32.778,-96.7338,"Dallas","TX","Dallas"
10950,63011,10950,41.3431,-74.3168,"Monroe","NY","Orange"
91762,62990,91762,34.84,-115.967,"Ontario","CA","San Bernardino"
30062,62958,30062,33.9823,-84.488,"Marietta","GA","Cobb"
48180,62937,48180,42.2458,-83.2491,"Taylor","MI","Wayne"
77077,62933,77077,29.834,-95.4342,"Houston","TX","Harris"
93309,62828,93309,35.2944,-118.905,"Bakersfield","CA","Kern"
32808,62827,32808,28.5803,-81.4396,"Orlando","FL","Orange"
10024,62774,10024,40.8081,-73.9657,"New York City","NY","New York"
21740,62760,21740,39.5889,-77.7002,"Hagerstown","MD","Washington"
85041,62702,85041,33.3797,-112.112,"Phoenix","AZ","Maricopa"
32818,62566,32818,28.5947,-81.4967,"Orlando","FL","Orange"
20148,62554,20148,39.0142,-77.5285,"Ashburn","VA","Loudoun"
28173,62501,28173,34.9251,-80.7278,"Waxhaw","NC","Union"
43055,62460,43055,40.086,-82.486,"Newark","OH","Licking"
11216,62373,11216,40.6805,-73.9468,"Brooklyn","NY","Kings"
78520,62344,78520,26.0522,-97.5145,"Brownsville","TX","Cameron"
89148,62337,89148,36.0629,-115.272,"Las Vegas","NV","Clark"
22407,62301,22407,38.272,-77.6068,"Fredericksburg","VA","Spotsylvania"
90640,62294,90640,33.7866,-118.299,"Montebello","CA","Los Angeles"
30101,62284,30101,34.0234,-84.6738,"Acworth","GA","Cobb"
37167,62284,37167,35.8562,-86.4534,"Smyrna","TN","Rutherford"
95127,62269,95127,37.3739,-121.796,"San Jose","CA","Santa Clara"
22554,62257,22554,38.439,-77.4354,"Stafford","VA","Stafford"
33313,62232,33313,26.1487,-80.2075,"Fort Lauderdale","FL","Broward"
91702,62196,91702,33.7866,-118.299,"Azusa","CA","Los Angeles"
43130,62187,43130,39.6897,-82.6093,"Lancaster","OH","Fairfield"
92627,62181,92627,33.6851,-117.764,"Costa Mesa","CA","Orange"
78664,62168,78664,30.5305,-97.6351,"Round Rock","TX","Williamson"
30906,62166,30906,33.3589,-82.0099,"Augusta","GA","Richmond"
31907,62140,31907,32.4831,-84.915,"Columbus","GA","Muscogee"
37027,62116,37027,35.983,-86.8161,"Brentwood","TN","Williamson"
60073,62071,60073,42.2792,-88.0502,"Round Lake","IL","Lake"
7047,62066,7047,40.7897,-74.0232,"North Bergen","NJ","Hudson"
78251,62064,78251,29.4649,-98.6718,"San Antonio","TX","Bexar"
44035,62050,44035,41.3714,-82.1051,"Elyria","OH","Lorain"
42101,62041,42101,37.0174,-86.4518,"Bowling Green","KY","Warren"
80634,62001,80634,40.2812,-104.796,"Greeley","CO","Weld"
23320,62000,23320,36.75,-76.2188,"Chesapeake","VA","Chesapeake City"
60016,61988,60016,42.0483,-87.8905,"Des Plaines","IL","Cook"
73160,61987,73160,35.3269,-97.4068,"Oklahoma City","OK","Cleveland"
20874,61922,20874,39.1355,-77.2822,"Germantown","MD","Montgomery"
92392,61859,92392,34.492,-114.755,"Victorville","CA","San Bernardino"
91761,61837,91761,34.84,-115.967,"Ontario","CA","San Bernardino"
85345,61801,85345,33.2765,-112.187,"Peoria","AZ","Maricopa"
85008,61759,85008,33.4468,-111.954,"Phoenix","AZ","Maricopa"
77072,61688,77072,29.834,-95.4342,"Houston","TX","Harris"
92223,61686,92223,33.927,-116.955,"Beaumont","CA","Riverside"
22030,61665,22030,38.8532,-77.3051,"Fairfax","VA","Fairfax City"
78665,61640,78665,30.2198,-98.3586,"Sandy","TX","Blanco"
976,61638,976,18.3381,-65.9892,"Trujillo Alto","PR","Trujillo Alto"
92703,61593,92703,33.6403,-117.769,"Santa Ana","CA","Orange"
90660,61561,90660,33.9858,-118.089,"Pico Rivera","CA","Los Angeles"
92115,61456,92115,32.7576,-117.071,"San Diego","CA","San Diego"
21122,61444,21122,38.9768,-76.6162,"Pasadena","MD","Anne Arundel"
93291,61439,93291,36.184,-119.363,"Visalia","CA","Tulare"
60628,61419,60628,41.8119,-87.6873,"Chicago","IL","Cook"
95014,61414,95014,37.1894,-121.705,"Cupertino","CA","Santa Clara"
2360,61412,2360,41.8862,-70.6387,"Plymouth","MA","Plymouth"
78745,61322,78745,30.1987,-97.7972,"Austin","TX","Travis"
83301,61291,83301,42.4432,-114.629,"Twin Falls","ID","Twin Falls"
55044,61134,55044,44.6334,-93.2581,"Lakeville","MN","Dakota"
92620,61110,92620,33.6916,-117.765,"Irvine","CA","Orange"
6010,61077,6010,41.6812,-72.9396,"Bristol","CT","Hartford"
10031,61044,10031,40.8234,-73.949,"New York City","NY","New York"
78504,60999,78504,26.3263,-98.2335,"Mcallen","TX","Hidalgo"
34744,60995,34744,28.2976,-81.324,"Kissimmee","FL","Osceola"
77469,60971,77469,29.5558,-95.7885,"Richmond","TX","Fort Bend"
92507,60949,92507,33.7529,-116.056,"Riverside","CA","Riverside"
2169,60938,2169,42.2418,-71.006,"Quincy","MA","Norfolk"
30083,60937,30083,33.7864,-84.2034,"Stone Mountain","GA","Dekalb"
85338,60922,85338,33.2765,-112.187,"Goodyear","AZ","Maricopa"
95828,60850,95828,38.4884,-121.423,"Sacramento","CA","Sacramento"
30066,60795,30066,34.0248,-84.4984,"Marietta","GA","Cobb"
78249,60769,78249,29.4375,-98.4616,"San Antonio","TX","Bexar"
98208,60723,98208,47.8973,-122.19,"Everett","WA","Snohomish"
70726,60707,70726,30.459,-90.9027,"Denham Springs","LA","Livingston"
11550,60668,11550,40.7002,-73.6209,"Hempstead","NY","Nassau"
79924,60667,79924,31.8722,-106.503,"El Paso","TX","El Paso"
19446,60659,19446,40.2242,-75.2916,"Lansdale","PA","Montgomery"
33065,60600,33065,26.2213,-80.2614,"Pompano Beach","FL","Broward"
2151,60592,2151,42.3663,-71.0205,"Revere","MA","Suffolk"
30253,60539,30253,33.451,-84.1544,"Mcdonough","GA","Henry"
80504,60527,80504,40.1294,-104.971,"Longmont","CO","Weld"
19720,60514,19720,39.5929,-75.6515,"New Castle","DE","New Castle"
95051,60499,95051,37.1894,-121.705,"Santa Clara","CA","Santa Clara"
27703,60483,27703,35.9574,-78.8217,"Durham","NC","Durham"
10032,60480,10032,40.8391,-73.9422,"New York City","NY","New York"
37129,60448,37129,35.9017,-86.4235,"Murfreesboro","TN","Rutherford"
60619,60443,60619,41.8119,-87.6873,"Chicago","IL","Cook"
29445,60419,29445,33.058,-80.0101,"Goose Creek","SC","Berkeley"
37040,60377,37040,36.5167,-87.3085,"Clarksville","TN","Montgomery"
95355,60338,95355,37.6859,-120.948,"Modesto","CA","Stanislaus"
7111,60268,7111,40.7262,-74.2329,"Irvington","NJ","Essex"
77396,60253,77396,29.834,-95.4342,"Humble","TX","Harris"
8854,60233,8854,40.5529,-74.4577,"Piscataway","NJ","Middlesex"
19134,60229,19134,39.9947,-75.108,"Philadelphia","PA","Philadelphia"
23456,60182,23456,36.7466,-76.0391,"Virginia Beach","VA","Virginia Beach City"
59901,60177,59901,48.2028,-114.304,"Kalispell","MT","Flathead"
92647,60114,92647,33.6403,-117.769,"Huntington Beach","CA","Orange"
10473,60087,10473,40.8162,-73.8603,"Bronx","NY","Bronx"
92346,60025,92346,34.1565,-117.14,"Highland","CA","San Bernardino"
21222,60013,21222,39.326,-76.4517,"Dundalk","MD","Baltimore"
33064,60009,33064,26.2212,-80.1251,"Pompano Beach","FL","Broward"
11435,59961,11435,40.7002,-73.7973,"Jamaica","NY","Queens"
78501,59954,78501,26.2693,-98.2244,"Mcallen","TX","Hidalgo"
78753,59951,78753,30.3786,-97.6764,"Austin","TX","Travis"
44060,59932,44060,41.6793,-81.3288,"Mentor","OH","Lake"
93313,59924,93313,35.2758,-119.014,"Bakersfield","CA","Kern"
28227,59904,28227,35.1366,-80.7112,"Charlotte","NC","Mecklenburg"
85033,59904,85033,33.2765,-112.187,"Phoenix","AZ","Maricopa"
92571,59896,92571,33.7529,-116.056,"Perris","CA","Riverside"
10460,59852,10460,40.8418,-73.879,"Bronx","NY","Bronx"
92071,59795,92071,32.844,-116.995,"Santee","CA","San Diego"
93458,59789,93458,34.9535,-120.496,"Santa Maria","CA","Santa Barbara"